"distance.breaks.short","I-B _t","I-B _nt","I-B _rnd_t","I-B _rnd_nt","I-C _t","I-C _nt","I-C _rnd_t","I-C _rnd_nt","I-E _t","I-E _nt","I-E _rnd_t","I-E _rnd_nt","I-F _t","I-F _nt","I-F _rnd_t","I-F _rnd_nt","II-A _t","II-A _nt","II-A _rnd_t","II-A _rnd_nt","II-C _t","II-C _nt","II-C _rnd_t","II-C _rnd_nt"
-25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25000,3.67947241979529e-08,-0.0303630294679576,0.0346267343845106,-0.0356935908224109,0.0748879785534045,-0.0876639832050126,0.039141949696303,-0.036191345608829,0.037608232166968,-0.0302961207406838,0.0420409913196088,-0.0427823934837408,0.0258932526488674,-0.0457056614688353,0.0301568582120118,-0.0299905911392254,0.0226299277995127,-0.0293620696027013,0.0495735940307592,-0.0505734987649729,0.00674242268490362,-6.20441593746537e-06,0.046062250967821,-0.0473013862552265
-23958.3333333333,5.74315447278605e-06,-0.0260602033713869,0.037917625571962,-0.0394848343215314,0.0919784484580313,-0.0902915671028402,0.0508619395575584,-0.0453902358183729,0.0634770071815498,-0.0180224829257493,0.055677288244033,-0.0558125162890128,0.0326288635268893,-0.0234976717195651,0.0373542312746731,-0.0335033425968184,0.0784014279955927,-0.0823692376607344,0.0666278898973999,-0.0628431096974794,0.0456149372373573,-0.000316053657599047,0.0528868524269041,-0.0586362188624699
-22916.6666666667,0.000308039296979833,-0.0378882453344352,0.0443366400595506,-0.045447286249922,0.0518590704522223,-0.0517540124279016,0.0598701563795691,-0.0585800895468632,0.080399630432618,-0.0412882261017726,0.0735095154439727,-0.0708710619312879,0.029484969430897,-0.0355463626741649,0.0447934263051055,-0.0381391912444145,0.116677532706962,-0.0850537388871742,0.0841664363880834,-0.0744442289780232,0.115029075713008,-0.00546032580708479,0.0606595741150019,-0.0745761414976361
-21875,0.00574789920447463,-0.0213183408979419,0.0591552727349962,-0.0566368998212371,0.0281308799943394,-0.0139752813159974,0.0674395660631541,-0.0733997700874896,0.0712044029638517,-0.0943450621312257,0.0934205474477686,-0.0857529831825501,0.0336878654347113,-0.058963481954077,0.0532114977659431,-0.0478837829569079,0.123352287069462,-0.032368255268118,0.108298929909853,-0.0971920651051415,0.122648256247882,-0.0319473571048186,0.0735276955612142,-0.0929229056875266
-20833.3333333333,0.0387738213481221,-0.00488286801504505,0.0807103951500407,-0.0776997876718481,0.0554851355702244,-0.0150143567804755,0.0808294628112081,-0.0860708777701614,0.0800719512715612,-0.100962998717946,0.113128928410565,-0.102538653614357,0.0252925827073554,-0.0534359621561444,0.0621171675890519,-0.0592086246233702,0.143916964781947,-0.0049908211068079,0.143490268043888,-0.123890200630496,0.0672624022549304,-0.0636988061570091,0.0973860511477809,-0.108529063463885
-19791.6666666667,0.101674194187583,-0.0105964475045209,0.104837212140712,-0.105619431536641,0.0991954847242503,-0.062894191213853,0.0992487761391962,-0.101217939050561,0.0902107416649928,-0.0599027013942656,0.13212695943653,-0.120774598171051,0.0136937650923094,-0.0380518955850644,0.0733715038803806,-0.0713993712539301,0.240983177994665,-0.00715273900509742,0.176610103543432,-0.146530451412762,0.0206242336086643,-0.0483641283719004,0.131856194676998,-0.129771520593451
-18750,0.11713210461129,-0.0466833084068103,0.132245668396985,-0.129425024045483,0.11521981101052,-0.164868028112408,0.120218164802682,-0.118420591793237,0.0751888736935194,-0.0444831981810393,0.147829788742377,-0.136808943273431,0.0287978850992639,-0.0296324306375175,0.0891178967749001,-0.0855695253350348,0.348619834467105,-0.0334967934699613,0.196782936328176,-0.175645317874142,0.0166798195623317,-0.0432424446868846,0.158165540807175,-0.15704095674044
-17708.3333333333,0.0839434609439484,-0.0769076697433456,0.153476634236595,-0.149977938715482,0.111715722151563,-0.281562706255806,0.144156234928148,-0.133248237433727,0.0833770158003669,-0.0586846232043704,0.163843380622224,-0.149587081402843,0.0652032755199398,-0.0389640324327601,0.107603454599913,-0.0992284931895285,0.367551073971944,-0.0757277669145006,0.215568581571871,-0.214800719820199,0.0723760761712684,-0.0796116800597117,0.170447831468973,-0.176280331509172
-16666.6666666667,0.0854958855500562,-0.0660633913640078,0.170490316635189,-0.170564624145353,0.136442411133654,-0.29422647070334,0.168628619714677,-0.150454686324657,0.0995973667078201,-0.0642262197434238,0.176055229372304,-0.164633932411209,0.0995116369616629,-0.0584988102558887,0.124213102532328,-0.11306395499383,0.313626959913668,-0.161985068037755,0.238243213069186,-0.247410679946149,0.168279040448792,-0.150510103614264,0.176702095147626,-0.18797355780863
-15625,0.107915540685694,-0.0968301722353869,0.190863263042605,-0.198305345415426,0.145502880613791,-0.214068171982999,0.187580433154977,-0.170782088848122,0.108589446677132,-0.0617115106618442,0.17709966833157,-0.181773219136498,0.105611957101618,-0.0488395043400425,0.134571044371616,-0.130140325721321,0.261361034858202,-0.29672302359461,0.259551101862248,-0.264502973751769,0.203761872878224,-0.336887549676413,0.184623279753793,-0.192259861089781
-14583.3333333333,0.12579975519558,-0.182044424135395,0.214297998995843,-0.227553573083453,0.148593784747399,-0.148373211177583,0.195016030885562,-0.190574201275069,0.100889356509095,-0.0929923458401806,0.187074394766429,-0.198738834185446,0.0660124684296485,-0.0420195014130615,0.143287055880624,-0.146499008909203,0.233457935294242,-0.35651369493702,0.272110246184509,-0.276838960976922,0.143377986405353,-0.49264308245196,0.196346071986004,-0.193469291688822
-13541.6666666667,0.164437256235573,-0.28420666760975,0.237112072966043,-0.244584578968103,0.132034916144826,-0.123114243013251,0.198528033008078,-0.209522707149906,0.0932112198178578,-0.179010093011225,0.212908100678559,-0.219323453951045,0.0303220710206753,-0.0610863542663559,0.154045845292223,-0.159853611211534,0.17996827945015,-0.349136314505925,0.285612926579712,-0.300271188330758,0.090378724722339,-0.463122015306096,0.201306748668634,-0.20570715020156
-12500,0.207805303647843,-0.309946212583965,0.254381854312174,-0.255378432855282,0.0809609115707952,-0.12000911447969,0.213153715511373,-0.229858066175911,0.105978516849758,-0.240785129207086,0.234401311082745,-0.244377901153448,0.0639257981178961,-0.0529941855794897,0.167541861803341,-0.169677242297069,0.171225399406,-0.315811769092059,0.303697709990694,-0.324643102951057,0.0977962072470254,-0.319375701110623,0.205569015794314,-0.219855926666342
-11458.3333333333,0.17766382041252,-0.239997062303478,0.267301892712976,-0.27686854992708,0.0774740983653462,-0.140930671013707,0.232938785503129,-0.252123519624355,0.1253800612247,-0.217819208606378,0.251916181105388,-0.261447855734866,0.141874062380946,-0.0440801149625409,0.178054787736668,-0.177888837543073,0.261987781619746,-0.274107878003161,0.319468326642373,-0.33775451176899,0.131415153155906,-0.189108581532058,0.222031055348526,-0.230693181176212
-10416.6666666667,0.113616698426157,-0.188063438955441,0.285204806481801,-0.309197321596641,0.135993025146744,-0.117282765660001,0.24769516504116,-0.270783237370419,0.122326043822953,-0.217047228417183,0.273752854885144,-0.270592903693279,0.174683644410916,-0.0672461393833686,0.18994313790975,-0.190539298562453,0.300372081570634,-0.319913778403642,0.332699875362087,-0.345996941070119,0.245367639528141,-0.151047519928399,0.253479074565649,-0.249791517338527
-9375,0.129979259991537,-0.170252161617951,0.31471048537447,-0.331683793473737,0.256718865738906,-0.154230057057214,0.264762616130494,-0.284678650552355,0.119287844972865,-0.269992443663505,0.291565011438183,-0.284125916077325,0.134604817609576,-0.0849949835589786,0.205593872341769,-0.206048771327046,0.330419181533185,-0.485598796557554,0.357762205886405,-0.365919102228,0.361792858061736,-0.187826351925545,0.288892279603826,-0.275181290985233
-8333.33333333333,0.208923096007253,-0.170940069077115,0.342542258393095,-0.345499845207564,0.357676018608681,-0.293643629321622,0.28964179538764,-0.301946418851116,0.194365167487375,-0.27599634446267,0.301657085630487,-0.298285917505388,0.127380735719102,-0.0896832907282325,0.217907544904424,-0.222183508063474,0.404426238254441,-0.591650637727663,0.396879506772524,-0.402983088402709,0.342149849490226,-0.154358338578283,0.318642142818503,-0.295939605197007
-7291.66666666666,0.270967619910127,-0.204623741994857,0.366415172451359,-0.360836498662998,0.348901290158911,-0.350720276965234,0.324014531420813,-0.323440765564874,0.286919176588322,-0.239878907819408,0.314333146241405,-0.316737671078284,0.164146017314014,-0.0832992639072957,0.227339479333423,-0.234799084968468,0.489943544024785,-0.572270867113442,0.439795545894469,-0.442759273835287,0.22314055541619,-0.0570432945360969,0.351590219811795,-0.317610519073337
-6250,0.270538530286624,-0.346084421871633,0.388091974434398,-0.377160071582073,0.324747687281195,-0.345665020000821,0.364266655974587,-0.343947640057991,0.294921077964827,-0.19753303913175,0.334546605906376,-0.34015784668891,0.188537118542442,-0.0604457871717339,0.238036955418059,-0.238339253672298,0.565442283946649,-0.433609452051471,0.484000156291866,-0.478484519145993,0.209713652774031,-0.0539418308027521,0.379925752915968,-0.360755746335357
-5208.33333333333,0.269093263535691,-0.507145151976554,0.406655381013836,-0.388746567519938,0.314106526590286,-0.469608034284466,0.390034127031619,-0.368653172232584,0.275744479658427,-0.195234075543826,0.347454249428894,-0.347846188253998,0.206075408454851,-0.0793876012792835,0.246970115228707,-0.241849446505294,0.644221764855153,-0.383118063141109,0.522993255422979,-0.506705306230794,0.310425136879166,-0.18050195254195,0.405031405705524,-0.411208484429058
-4166.66666666666,0.361679990188937,-0.563747435602691,0.413237612945965,-0.391991550473979,0.336446193020323,-0.635700707176909,0.392650709854536,-0.397976744233671,0.31856237724881,-0.235689177056775,0.344222116126354,-0.343885098027838,0.224600022598158,-0.149302280633999,0.252804789675079,-0.250333246948208,0.594347625028534,-0.513912289410047,0.532237691344766,-0.518098112028617,0.426334910479645,-0.314678762619188,0.423662168880129,-0.43494720777501
-3125,0.5147331158044,-0.652922012261982,0.413700846699858,-0.384795432875717,0.447695227472847,-0.620530017428466,0.390751857147711,-0.402636563261459,0.384002244451489,-0.315828872571577,0.34086923857182,-0.343572101699235,0.344854161366916,-0.241809168896902,0.256565140183671,-0.251752494322381,0.519252633940822,-0.690947930671711,0.529557022480102,-0.528611378920225,0.617012104091346,-0.420455233012319,0.422129168451432,-0.440983599431103
-2083.33333333333,0.677574175810403,-0.757924401851589,0.407976150425201,-0.384596086323763,0.660377700310562,-0.527894610733354,0.39613863980773,-0.3975594200359,0.460609678734353,-0.444671749492434,0.344800629994223,-0.34504540961048,0.662974271938733,-0.332115503965338,0.254375924399528,-0.248640270477295,0.591684395098887,-0.818381765003066,0.541758671447425,-0.542083855047162,0.813690868340677,-0.564283628485222,0.422683931902565,-0.443637212593052
-1041.66666666666,0.867822274742722,-0.706131267433972,0.397286738236071,-0.394428060406866,0.885740065339625,-0.513174188359077,0.401148017524756,-0.404884401699031,0.680763287361771,-0.636808660221677,0.350962101969802,-0.346774942870372,1,-0.492011716286223,0.252913458352776,-0.250791392362012,0.760209472727906,-0.940057316805944,0.542732637734309,-0.545256160210903,1,-0.744374156839479,0.439207176109727,-0.435936170585288
1041.66666666667,0.953356391633645,-0.580976459382012,0.410928667789284,-0.395796152550298,0.898797455450267,-0.365704453994624,0.399024532173768,-0.388908778258744,1,-0.871102743044042,0.342907252475272,-0.340542388039996,0.624425840278614,-0.926460731362078,0.25229019214149,-0.258807917867548,0.874114383096302,-1,0.522237200219608,-0.52950918589086,0.629600798711081,-0.671498180942542,0.433067503626972,-0.411664833039653
2083.33333333333,0.931796951353436,-0.525169301745436,0.408473620784156,-0.392270738447075,0.685092681521014,-0.29763012464772,0.411911363389466,-0.381335764846327,0.71664685493906,-0.710299798298503,0.338967106495792,-0.336690931470849,0.373077281410948,-0.815211467564987,0.252741955476245,-0.255603106026415,0.64870548371389,-0.992089245964359,0.525616264525463,-0.527559645995914,0.372117456052929,-0.575199484978038,0.424965731519378,-0.434387001144845
3125,0.938791954032272,-0.338520115361247,0.401346393756229,-0.398753170378578,0.500866675116358,-0.345866588286833,0.416679304081441,-0.382998384921953,0.425905306980029,-0.506786906161788,0.341588724716308,-0.337650045846473,0.305939032361059,-0.600452336826194,0.252117163989428,-0.255769693799709,0.488963819144826,-0.709237156023325,0.525992149275883,-0.524411246606015,0.363668013625489,-0.547274014609739,0.423395387691687,-0.451660320502765
4166.66666666667,0.682758254838911,-0.168889686447238,0.393505069416542,-0.404011114842995,0.369853630388677,-0.378936231616064,0.405973213508309,-0.384472026622722,0.29898950471273,-0.411664299651364,0.349502308932761,-0.343135543137165,0.280616065026066,-0.372359642457863,0.24939814510703,-0.256899166812418,0.404513279103651,-0.4578688869818,0.52342741717473,-0.51829801715023,0.355660883858377,-0.600745882275723,0.42007717173729,-0.425643163003798
5208.33333333333,0.406131437282825,-0.160603364235082,0.380986338068681,-0.401682279205998,0.256690768804827,-0.340278003494067,0.391133766007652,-0.372932395120543,0.289504699365342,-0.406066296086696,0.348962753798499,-0.346571831506397,0.214282136711715,-0.230909527227044,0.245538827589525,-0.24979689807825,0.44664997014758,-0.382883078810689,0.498732777534949,-0.495132038666831,0.28134088548665,-0.647174438257732,0.411659773609262,-0.390659023005311
6250,0.295894145508086,-0.208207440820587,0.369434129240743,-0.388176461934192,0.156244452419579,-0.338803526840516,0.367641704954946,-0.350907978223402,0.259758187980645,-0.320398936667871,0.328548283236365,-0.337761226380391,0.149228973667836,-0.23039930027381,0.239009802301653,-0.232254661858182,0.501546545100991,-0.384157516935435,0.462461116334026,-0.451796858638468,0.279216796993642,-0.577191915785668,0.398209619391059,-0.365787528567038
7291.66666666667,0.26601312745444,-0.257118174771543,0.349751347843274,-0.371150081157435,0.157831255597859,-0.368446800364059,0.334197972900265,-0.32622053074931,0.234162554821824,-0.259555252549304,0.30204090331466,-0.321942709207355,0.115953067253004,-0.273724463800921,0.228591834023407,-0.221287405259284,0.496091483687613,-0.363382476943276,0.431635937084133,-0.405097831218436,0.333331041921204,-0.450946601470423,0.36746062136435,-0.343498511532574
8333.33333333333,0.26023672382974,-0.353478395178366,0.327111577310019,-0.355260665393036,0.186462257603566,-0.364376203041578,0.295812369421225,-0.302732533800874,0.215194981750884,-0.246840219129806,0.281173970307661,-0.295431284815258,0.081911470028819,-0.276711068028371,0.216466586995449,-0.218725619095854,0.435474421142771,-0.337527152362606,0.396921542332968,-0.374143209901442,0.301679456801274,-0.352015450477326,0.329054994968245,-0.314073302989974
9375,0.216785110996242,-0.378292050325742,0.305733762261617,-0.321294940832359,0.131912290728064,-0.264392777343217,0.26899606922824,-0.277679367002786,0.218350153173484,-0.20364485125612,0.26388092353039,-0.269645313814669,0.048145663264463,-0.220661949173268,0.204874190582621,-0.212044225415273,0.302408122879777,-0.335093022678456,0.351039291878861,-0.351258952914886,0.204082284760383,-0.28630395462648,0.302273107908061,-0.279743404111338
10416.6666666667,0.187428300191528,-0.350481458751719,0.28523134713048,-0.28350624930026,0.100086134829936,-0.17643828476899,0.256094485272828,-0.252740849483542,0.328028393087994,-0.170542520524896,0.252843370139879,-0.258992548853433,0.0589616292936072,-0.134768267189847,0.192010223528224,-0.199986452986714,0.18893728031855,-0.324582678286442,0.32704308627098,-0.32903769680822,0.175449773479936,-0.218057355175929,0.275036243672355,-0.248331187710642
11458.3333333333,0.231746625222244,-0.296562292339081,0.269659855403167,-0.264345790573095,0.130782910437547,-0.14518590035484,0.243158430142858,-0.234563487094361,0.395453814918111,-0.174082440943197,0.248567960459625,-0.247907700521667,0.0902849676122277,-0.0804728471385571,0.17876823984996,-0.183682468046667,0.128581918427418,-0.282079421314507,0.323859266279396,-0.306109044304108,0.254324575570358,-0.178555030542112,0.237322607473813,-0.230035882347622
12500,0.189896788526349,-0.230112502204015,0.256539935732444,-0.253270918785716,0.111172674723042,-0.122123255681601,0.225959023513549,-0.223324185082713,0.325932605619293,-0.186173376663938,0.236369261430677,-0.229173288827013,0.108687473847085,-0.0731342801369678,0.164974661895876,-0.168672598760103,0.14171000766179,-0.223938366505914,0.310835827402356,-0.283622589194171,0.328302377385026,-0.17180151133535,0.210460324702982,-0.224373723752268
13541.6666666667,0.0804190227917335,-0.164179315561368,0.240107992325732,-0.238521346249064,0.0921877474304804,-0.0994365373506627,0.210455431610946,-0.212574537661349,0.215902868857288,-0.173455106318002,0.211506460488926,-0.211206655202338,0.105099716754809,-0.0896834440715392,0.151818159198854,-0.154823701601652,0.180174922244463,-0.160263285038713,0.281783560987084,-0.267577786118794,0.253112949951973,-0.179055286980022,0.206477331305852,-0.218397086243412
14583.3333333333,0.0644916005682401,-0.0969443092482497,0.220762727037513,-0.218638212582365,0.150363730286981,-0.113044859730438,0.19432007278204,-0.204065603021741,0.139287283652874,-0.139988940144893,0.18879475780801,-0.19300784261529,0.0936057221097244,-0.103595538429788,0.142613630078987,-0.143031323658229,0.191511558163119,-0.117319594042494,0.257134394403431,-0.265011552933091,0.159528931959028,-0.167291236894333,0.208301681839176,-0.207386422784663
15625,0.121483172023203,-0.119415774222976,0.198316557949421,-0.197704028784796,0.174565085831694,-0.128170928384772,0.175959714524855,-0.191939944492371,0.0882756194088813,-0.114791094303744,0.172784138073664,-0.178676889009094,0.0872301175782902,-0.110450152241436,0.133763352897528,-0.134346407717087,0.205010113497795,-0.0851408771041123,0.248850631783258,-0.271089935070206,0.183360102762812,-0.153939434480636,0.195116375744778,-0.193060890554796
16666.6666666667,0.13329731991169,-0.180934159853001,0.171713454261408,-0.174455561783215,0.124275129455057,-0.150116077819712,0.157317913550851,-0.171982653752368,0.0428214325957083,-0.105000060787365,0.161402745495757,-0.165016599296955,0.0629395183939385,-0.0948057330713054,0.119514546841849,-0.123608394719162,0.180191867748103,-0.043131328401201,0.23630375214317,-0.268094096490985,0.214518096820885,-0.156803910987656,0.168588079925192,-0.178025941220887
17708.3333333333,0.0743782184422625,-0.240311105121428,0.151786989279163,-0.151603305987678,0.107183586628888,-0.146488000401666,0.135764424795151,-0.144792682804159,0.0420799929776709,-0.103961585297183,0.151507820972771,-0.149064669606572,0.0498691204205353,-0.0622118825464528,0.105030505573884,-0.110631353286411,0.092768291972142,-0.0527236939947954,0.209512587397561,-0.240741252522838,0.186187587465413,-0.13993757389019,0.146566576683065,-0.16044734225062
18750,0.0515790271657148,-0.29120406053627,0.133214256073461,-0.129308984043401,0.130204415736715,-0.129863555090866,0.11332850724544,-0.118493975854939,0.0676228402368854,-0.109047087074568,0.138682624692615,-0.133923081409468,0.0538854803790803,-0.0344798936220238,0.0909703976634079,-0.0937893401759273,0.0244908833125257,-0.100128393973051,0.185818641820029,-0.203518252414602,0.122513803453865,-0.0630570097961272,0.129676365895027,-0.142453944465391
19791.6666666667,0.0648507186160765,-0.275524193889799,0.102771825017218,-0.108561927576769,0.104455902067895,-0.112362048062464,0.096463139617972,-0.0988811586039071,0.0819056374070066,-0.096927523927854,0.119378189214228,-0.118784687885094,0.0401720004058912,-0.0168306353369736,0.0753645131221443,-0.0725857037618807,0.00287331977460502,-0.141026170876402,0.167249389487219,-0.167650146191716,0.0917236908266272,-0.0108781752077385,0.11117072658665,-0.119753281000913
20833.3333333333,0.0409363653163152,-0.161254196381539,0.0719052140667589,-0.0875791040077984,0.0837820289411039,-0.0680324206704307,0.0822256352691729,-0.085770499905746,0.0876228538859032,-0.0897152676881767,0.0987062637336182,-0.104387770201409,0.0184956208710621,-0.0163846716761401,0.0620009599100718,-0.056373933170967,0.000744966642982588,-0.162881434751103,0.14160161689576,-0.129587527745153,0.107438526097185,-0.00066958652640463,0.0947700759210346,-0.0965979039911223
21875,0.00982876897692926,-0.056640331242982,0.0557062994895878,-0.0643057867600901,0.0644888239016642,-0.0298248931602807,0.0669885233952874,-0.0745084189495753,0.0622855826573586,-0.0916595313817611,0.0832350094578267,-0.0912309565230055,0.0164679228435757,-0.0174578347692422,0.0506369592312718,-0.0479589371000687,0.00813740431196646,-0.102781759245325,0.110981289338917,-0.0950885284715773,0.116071771274518,-1.44160765164736e-05,0.0799866047176373,-0.0805503837043387
22916.6666666667,0.000871871455779259,-0.0213287596390696,0.0508046664853932,-0.0487194513303321,0.021515800509356,-0.0356953010613512,0.0546229844993028,-0.0616683672503738,0.0459578402201495,-0.103201813638643,0.0745181525450938,-0.0761575197373418,0.0228754559455671,-0.0173599716131879,0.0425586361786287,-0.0417628369834549,0.0396938667319572,-0.0267507434983344,0.0809752247802697,-0.0736902003023885,0.0687974326874479,-1.07410087571472e-07,0.0638135405728959,-0.067635696913948
23958.3333333333,0.000427804468208901,-0.0389528794153697,0.0448286127113146,-0.0411512241462547,0.00251549048003904,-0.0466266570241235,0.0461042678118863,-0.0477081329909008,0.0490295678434647,-0.0763309303312396,0.0646812648256747,-0.0598647911226476,0.0219155791256353,-0.0145916859324413,0.0369680818549797,-0.0367082229210678,0.0774151453117841,-0.00264472878761665,0.0606887730808159,-0.066287661486744,0.0174128489000837,-2.74355805327651e-10,0.0497739680524565,-0.0585789088410798
25000,0.00517097099420387,-0.0583916912463115,0.0371815805536568,-0.0392812967741186,0.000207190344302113,-0.0308735580381267,0.0382872051927384,-0.0360633645024744,0.0264780606917252,-0.0356453686713916,0.0519591198202065,-0.0456861239235074,0.012083971280166,-0.00556152711969362,0.0308096221731771,-0.0326551570988326,0.0651389622643278,-9.60994156560754e-05,0.0474721266048424,-0.0583914445292702,0.00168922895665676,-2.41113865528933e-13,0.0435986683103874,-0.0500779458353507
25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
